No,Category ,Amount,Date,Type
168,Palm Oil,10.69308824,Feb-21,yoy%
169,Palm Oil,54.14552111,Mar-21,yoy%
170,Palm Oil,73.00166363,Apr-21,yoy%
171,Palm Oil,60.48224828,May-21,yoy%
172,Palm Oil,50.97899206,Jun-21,yoy%
173,Palm Oil,41.35020826,Jul-21,yoy%
174,Palm Oil,35.08335019,Aug-21,yoy%
175,Palm Oil,57.56426659,Sep-21,yoy%
176,Palm Oil,34.58999922,Oct-21,yoy%
177,Palm Oil,97.41776904,Nov-21,yoy%
178,Palm Oil,-41.08612253,Jan-21,mom%
179,Palm Oil,18.36842758,Feb-21,mom%
180,Palm Oil,38.59611387,Mar-21,mom%
181,Palm Oil,8.764177225,Apr-21,mom%
182,Palm Oil,-2.656215498,May-21,mom%
183,Palm Oil,22.19951887,Jun-21,mom%
184,Palm Oil,-5.13701349,Jul-21,mom%
185,Palm Oil,-17.45084175,Aug-21,mom%
186,Palm Oil,40.14842319,Sep-21,mom%
187,Palm Oil,-5.186442184,Oct-21,mom%
188,Palm Oil,7.597852632,Nov-21,mom%
189,Petroleum,-31.93490975,Jan-21,yoy%
190,Petroleum,-24.34651734,Feb-21,yoy%
191,Petroleum,-27.16328162,Mar-21,yoy%
192,Petroleum,36.99222707,Apr-21,yoy%
193,Petroleum,140.9731749,May-21,yoy%
194,Petroleum,109.541963,Jun-21,yoy%
195,Petroleum,-6.832092481,Jul-21,yoy%
196,Petroleum,-3.915159618,Aug-21,yoy%
197,Petroleum,9.050651616,Sep-21,yoy%
198,Petroleum,60.49655841,Oct-21,yoy%
199,Petroleum,-13.37790988,Nov-21,yoy%
200,Petroleum,4.941070836,Jan-21,mom%
201,Petroleum,-14.79297399,Feb-21,mom%
202,Petroleum,31.81456349,Mar-21,mom%
203,Petroleum,2.231619445,Apr-21,mom%
204,Petroleum,8.227905481,May-21,mom%
205,Petroleum,2.937183019,Jun-21,mom%
206,Petroleum,-3.753238746,Jul-21,mom%
207,Petroleum,2.848292977,Aug-21,mom%
208,Petroleum,2.074138069,Sep-21,mom%
209,Petroleum,-13.92150769,Oct-21,mom%
210,Petroleum,-18.4280395,Nov-21,mom%
